,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,AVG NUMBER OF WORDS PER SENTENCE,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001,,0.137,0.02,0.9991,1.0,15.683544303797468,15.683544303797468,1239,1.476997578692494,17,4.713478611783697
1,blackassign0002,,0.149,0.036,0.9994,1.0,18.234567901234566,18.234567901234566,1477,1.7488151658767772,10,5.633039945836154
2,blackassign0003,,0.118,0.051,0.9971,1.0,19.196428571428573,19.196428571428573,1075,2.0176744186046514,20,6.291162790697674
3,blackassign0004,,0.102,0.145,-0.995,1.0,20.84313725490196,20.84313725490196,1063,1.93414863593603,7,6.121354656632173
4,blackassign0005,,0.107,0.005,0.9955,1.001,17.3,17.3,692,1.7239884393063585,6,5.677745664739884
5,blackassign0006,,0.151,0.021,0.9997,1.0,20.57777777777778,20.57777777777778,1852,1.861231101511879,7,6.09719222462203
6,blackassign0007,,0.078,0.154,-0.9991,1.0,16.974025974025974,16.974025974025974,1307,1.709257842387146,2,5.459831675592961
7,blackassign0008,,0.101,0.034,0.9947,1.0,16.25,16.25,780,2.0538461538461537,4,6.434615384615385
8,blackassign0009,,0.151,0.104,0.9922,1.0,16.75438596491228,16.75438596491228,955,2.054450261780105,9,6.471204188481676
9,blackassign0010,,0.162,0.146,0.9825,1.0,15.379166666666666,15.379166666666666,3691,1.7466811162286644,23,5.509076131129775
10,blackassign0011,,0.126,0.04,0.999,1.0,21.567164179104477,21.567164179104477,1445,1.8865051903114187,4,5.925259515570934
11,blackassign0012,,0.137,0.02,0.9993,1.001,19.453488372093023,19.453488372093023,1673,1.6443514644351465,3,5.713687985654513
12,blackassign0013,,0.171,0.01,0.9985,1.001,26.0,26.0,624,1.7147435897435896,3,5.522435897435898
13,blackassign0014,,0.0,0.0,0.0,1.0,0.0,0.0,12,1.1666666666666667,0,3.9166666666666665
14,blackassign0015,,0.205,0.055,0.9997,0.999,19.983870967741936,19.983870967741936,1239,1.6674737691686845,13,5.642453591606134
15,blackassign0016,,0.205,0.055,0.9997,0.999,19.983870967741936,19.983870967741936,1239,1.6674737691686845,13,5.642453591606134
16,blackassign0017,,0.127,0.019,0.9988,1.0,17.46268656716418,17.46268656716418,1170,1.705128205128205,4,5.607692307692307
17,blackassign0018,,0.106,0.023,0.9969,1.0,21.816326530612244,21.816326530612244,1069,1.724976613657624,1,5.732460243217961
18,blackassign0019,,0.135,0.011,0.9995,1.0,17.663265306122447,17.663265306122447,1731,1.6759098786828424,6,5.481802426343155
19,blackassign0020,,0.247,0.009,0.9993,1.001,18.033333333333335,18.033333333333335,541,1.5822550831792976,1,5.184842883548983
20,blackassign0021,,0.103,0.109,-0.6416,0.999,20.058823529411764,20.058823529411764,1023,1.7732160312805474,12,5.737047898338221
